,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Majority Voting,,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
1,0.4908074221391066,1.0,0.32566666666666666,400.0,0.0,0.0,0.0,0.0,0.32566666666666666,0.2454037110695533,0.5,0.16283333333333333,400.0,Maximum Proposal,,,,,0.4,0.6,0.6,400.0,0.01,2,0.4908074221391066,1.0,0.32566666666666666,400.0
2,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Mean Proposal,,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
3,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 3x3 Conv Entropy,,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
4,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
5,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
6,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 5x5 Conv Entropy,,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
7,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
8,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
9,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - Mean Entropy,,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
10,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - Mean Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
11,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,Negotiation - Mean Entropy (Weighted),,,,,0.4,0.6,0.6,400.0,0.01,2,0.0,0.0,0.0,400.0
